#name, A, B, C, D, E, F
NODE_0000000, 0.9999782401375313, 3.016182649517667e-06, 1.4240163140533107e-07, 1.427812843554861e-07, 1.5576726703094684e-05, 2.8817702005405057e-06
|A/cattle/USA/24-010327-002/2024|H5N1|PB1||B3.13|cattle|North_Carolina|2024-04-11, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0/92, 0.9999788432887742, 2.958522271107689e-06, 1.4135656867496528e-07, 1.4173252644457212e-07, 1.5085375763367273e-05, 2.829724096307461e-06
|A/cattle/Texas/24-010331-001-300/2024|H5N1|PB1||B3.13|cattle|Texas|2024-03-14, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
|A/cattle/Texas/24-010331-001/2024|H5N1|PB1||B3.13|cattle|Texas|2024-03-14, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0/5, 0.999978221455061, 3.0173331342495795e-06, 1.42410891216217e-07, 1.4279058045050197e-07, 1.559326048750017e-05, 2.8827498454657756e-06
|A/cattle/USA/24-010071-004/2024|H5N1|PB1|||cattle|USA|2024-04-01, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0
0/11, 0.9999782020635356, 3.0185461701835745e-06, 1.4242028829260638e-07, 1.4280001425148808e-07, 1.5610420981073777e-05, 2.883749010684126e-06
|A/cattle/Texas/24-009367-009/2024|H5N1|PB1||B3.13|cattle|Texas|2024-03-25, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0
0/7, 0.9999775746531872, 3.079484443410041e-06, 1.4347444317957757e-07, 1.4385790197101483e-07, 1.6121674385671933e-05, 2.9368556386924414e-06
0/8, 0.9999788238788218, 2.959735971183468e-06, 1.4136602460639979e-07, 1.4174201919097214e-07, 1.5102553314208462e-05, 2.8307238488724155e-06
|A/cattle/Michigan/24-009027-002/2024|H5N1|PB1||B3.13|cattle|Michigan|2024-03-24, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
|A/cattle/Kansas/24-009497-010/2024|H5N1|PB1||B3.13|cattle|Kansas|2024-03-25, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0/12, 0.9999773619184291, 3.1876073073494935e-06, 1.4354806381343269e-07, 1.439317284073491e-07, 1.6221944222321007e-05, 2.941050248919329e-06
0/8, 0.99997187844238, 8.487169813637861e-06, 1.4554859740906794e-07, 1.4593636700014754e-07, 1.6358306568073504e-05, 2.9845962739742367e-06
0/9, 0.9996978625795853, 0.00027706625633172176, 2.375567650915528e-07, 2.3811856320931075e-07, 2.0141607945710337e-05, 4.453880808901917e-06
0/9, 0.9999725724648308, 8.317872978002107e-06, 1.4449488145018133e-07, 1.448788361825817e-07, 1.5777912589241248e-05, 3.042375884410706e-06
|A/cattle/Texas/24-009495-007/2024|H5N1|PB1|||cattle|Texas|2024-03-21, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0/1, 0.9999715202145243, 3.185871887170091e-06, 1.452456061507258e-07, 1.4563115613184835e-07, 1.584421585717752e-05, 9.158820969112661e-06
|A/cattle/Michigan/24-009027-010/2024|H5N1|PB1||B3.13|cattle|Michigan|2024-03-24, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0/1, 0.9996249997816109, 5.309040605766245e-06, 2.79690424822353e-07, 2.803335000739523e-07, 2.1958782218662187e-05, 0.00034717237163969425
0/12, 0.9812441003613186, 6.117937246107022e-05, 5.463054596354151e-06, 5.472093239584994e-06, 0.00012745878636777864, 0.018556326332016444
|A/blackbird/Texas/24-008354-001/2024|H5N1|PB1||B3.13|wild-bird|Texas|2024-03-16, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
0/14, 0.9996390383943967, 5.102461273306683e-06, 2.756376118148323e-07, 2.762677442903136e-07, 2.056230207876092e-05, 0.0003347449368950074
