#name, A, B, C, D, E, F
|A/cattle/New_Mexico/24-010330-007/2024|H5N1|MP||B3.13|cattle|New_Mexico|2024-04-01, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000020, 0.999976761046436, 1.501533492965684e-05, 1.7334784317585993e-07, 1.7334760770786144e-07, 3.247233116174586e-06, 4.6296900672828704e-06
|A/cattle/New_Mexico/24-010330-009-300/2024|H5N1|MP||B3.13|cattle|New_Mexico|2024-04-01, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000021, 0.9999767610464352, 1.5015334930011549e-05, 1.7334784317614372e-07, 1.7334760770814583e-07, 3.24723311666885e-06, 4.629690067301888e-06
|A/cattle/New_Mexico/24-010193-006/2024|H5N1|MP||B3.13|cattle|New_Mexico|2024-03-29, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000022, 0.999976761046399, 1.5015334940685868e-05, 1.733478431894002e-07, 1.7334760772140227e-07, 3.2472331414688025e-06, 4.629690068082933e-06
|A/cattle/New_Mexico/24-010512-001/2024|H5N1|MP||B3.13|cattle|New_Mexico|2024-04-02, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000023, 0.9999767610448016, 1.5015335260354502e-05, 1.733478438233258e-07, 1.7334760835532702e-07, 3.247234386075066e-06, 4.629690099818585e-06
|A/cattle/New_Mexico/24-010330-007-300/2024|H5N1|MP||B3.13|cattle|New_Mexico|2024-04-01, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000024, 0.9999767609715079, 1.501534475485412e-05, 1.733478746150337e-07, 1.7334763914699956e-07, 3.2472968554535916e-06, 4.62969136777314e-06
|A/cattle/New_Mexico/24-010192-006/2024|H5N1|MP||B3.13|cattle|New_Mexico|2024-04-01, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
